frame_id,timestamp,gait_type,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.004167,stand,0.0033597312214923,-0.096232301415883,-0.0007199424046283,-0.0262306954401698,0.1552100588869607,-0.2126132978445357,-0.0019198464122889,0.0035997120230384,-0.0016798656107511,-0.0019198464122889,-0.006239500839939,0.0004799616030722,-0.012329,0.166747,-0.92347,0.002491,-0.144909,-0.925525,0.01482,0.311656,0.002055,0.9720966777414388,0.9890903274162072,double,-0.92347
2,0.008333,stand,0.0052808449351815,-0.1084973595775343,-0.0002400384061252,-0.0620757582007245,0.1248928124918447,-0.2499041051185314,-0.0002400384061252,0.0026404224675949,0.00096015362458,-0.002880460873716,-0.0031204992798812,-0.0014402304368705,-0.0123519999999999,0.16721,-0.923465,0.0024570000000001,-0.14447,-0.92553,0.014809,0.31168,0.002065,0.9746503120001342,0.9925261875131236,double,-0.923465
3,0.0125,stand,0.0064794816414685,-0.1099112071034284,-0.00143988480923,-0.1043189570846276,0.1118392833754582,-0.2732652037721041,-0.002159827213805,0.0050395968322534,0.001439884809215,-0.0033597312215456,-0.0011999040076872,0.0002399808015361,-0.0123879999999998,0.1676889999999999,-0.923453,0.0024159999999999,-0.144017,-0.925523,0.0148039999999998,0.311706,0.00207,0.9698519463954856,0.9940406109807488,double,-0.923453
4,0.016667,stand,0.0100791936645302,-0.1180705543556563,-0.0062395008399257,-0.1429301931183844,0.1622663645846775,-0.2541805631158484,-0.0031197504199761,0.0033597312215023,-0.0004799616030714,0.0004799616030855,-0.0014398848092033,0.0011999040076797,-0.0124429999999999,0.168195,-0.923429,0.0023759999999999,-0.1435309999999999,-0.925492,0.0148189999999999,0.3117259999999999,0.0020629999999999,0.9716868655658244,0.9967753548722996,double,-0.923429
5,0.020833,stand,0.003600576092145,-0.1159385501680229,-0.0067210753720662,-0.0796206104129361,0.2014642236274758,-0.2414669279255754,-0.0019203072491617,0.0007201152184348,0.0028804608737393,-0.0004800768123037,-0.0016802688430232,0.0,-0.0124659999999998,0.168681,-0.923389,0.002359,-0.143055,-0.925464,0.0148249999999998,0.311736,0.0020749999999999,0.9733566891251964,0.9970874900426748,double,-0.923389
6,0.025,stand,0.0062395008399523,-0.1190304775617941,-0.0011999040076606,-0.0337349281320455,0.2278118226846405,-0.1404580908422728,-0.004079673626094,0.0047996160307173,0.0,-0.0011999040076339,0.0,0.001439884809215,-0.0125089999999998,0.169197,-0.923384,0.0023280000000001,-0.142559,-0.925453,0.0148369999999999,0.311756,0.0020689999999999,0.9688113160960043,0.996876150037683,double,-0.923384
7,0.029167,stand,0.0050395968322651,-0.1156707463402953,0.0019198464122622,-0.0583177441181653,0.1594519837413536,-0.1216182598665283,-0.0011999040076872,0.0064794816414685,0.0004799616030722,0.0004799616030322,-0.0004799616030722,-0.0007199424046075,-0.0125349999999999,0.169706,-0.92339,0.0023089999999998,-0.142079,-0.925464,0.0148439999999998,0.311785,0.002074,0.9682481610287664,0.9983508896786104,double,-0.92339
8,0.033333,stand,0.0,-0.1180988958233298,0.0016802688430365,-0.0219357338576215,0.1375740589454155,-0.1573799463892904,-0.0009601536246075,0.0031204992798854,0.0043206913106098,-0.0002400384061252,-0.0014402304368713,0.0014402304368696,-0.012539,0.170211,-0.923379,0.0023079999999999,-0.141593,-0.925465,0.014847,0.311804,0.002086,0.9701141445249722,0.9965818515981312,double,-0.923379
9,0.0375,stand,0.008159347252188,-0.1233501319894444,0.002159827213805,-0.070898383833825,0.161165574602154,-0.1656275303298581,-0.0014398848092033,0.0045596352291812,0.0002399808015352,-0.0002399808015161,-0.0004799616030722,0.0,-0.0125789999999998,0.170744,-0.923387,0.0022730000000001,-0.141081,-0.925474,0.014852,0.311825,0.002087,0.97115066340963,0.9991056443574656,double,-0.923387
10,0.041667,stand,0.0050395968322651,-0.1240700743940458,-0.0009599232061444,-0.0687823315047546,0.1571018799594273,-0.228498626758655,-0.0016798656107728,0.0062395008399332,-0.0002399808015352,-0.0011999040076872,-0.0011999040076739,0.0011999040076797,-0.012607,0.171287,-0.923384,0.0022470000000001,-0.140569,-0.925465,0.0148540000000001,0.311856,0.0020809999999999,0.9684131072831614,0.9965361754908204,double,-0.923384
11,0.045833,stand,0.0,-0.1255400864138253,-0.0040806529044488,-0.1205254149648806,0.1788649465550365,-0.1944992177932749,-0.0033605376860198,0.0050408065290446,-0.0002400384061452,-0.0002400384061785,-0.0004800768122904,0.0002400384061443,-0.0126209999999999,0.1718309999999999,-0.923368,0.0022459999999999,-0.140048,-0.925447,0.0148669999999999,0.311879,0.0020789999999999,0.9691049184347066,0.9990200473104334,double,-0.923368
12,0.05,stand,0.0047996160307489,-0.1303095752339849,-0.0011999040076872,-0.0696806875414357,0.1895951444811918,-0.1189470305905446,0.0019198464122889,0.0043196544276451,0.0043196544276459,-0.0014398848092033,-0.0021598272138183,0.0021598272138233,-0.0126330000000001,0.172392,-0.923345,0.0022199999999998,-0.1395139999999999,-0.925433,0.014853,0.3119059999999999,0.0020879999999999,0.9684475225468948,0.994371951332118,double,-0.923345
13,0.054167,stand,0.0050395968322118,-0.1226301895848293,-0.0019198464122889,-0.0396681072718705,0.1605935927352563,-0.1305427258298039,-0.0009599232061178,0.0071994240460768,0.0009599232061436,-0.0011999040076872,-0.0019198464122889,-0.0007199424046083,-0.0126579999999998,0.172933,-0.923333,0.002194,-0.139011,-0.925428,0.0148519999999998,0.311944,0.002095,0.96683950682148,0.996040518783843,double,-0.923333
14,0.058333,stand,0.0057609217474853,-0.1293807009121486,0.0062409985597624,0.0041708781868834,0.1592811679622597,-0.0558041234484123,-0.0012001920307327,0.0057609217474795,-0.0012001920307252,-0.0016802688429832,-0.0033605376860331,0.0012001920307252,-0.0126869999999998,0.173496,-0.923364,0.0021630000000001,-0.138486,-0.925449,0.01485,0.311982,0.002085,0.9691404016617058,0.993426277514358,double,-0.923364
15,0.0625,stand,0.0045596352291795,-0.1329493640508757,0.0038396928245778,0.004145274112345,0.137858176442834,-0.0771301937062501,-0.0035997120230617,0.0031197504199661,-0.0004799616030714,-0.0021598272138583,-0.0043196544276501,0.0011999040076797,-0.0127209999999999,0.174063,-0.923382,0.0021349999999999,-0.13795,-0.92546,0.0148559999999999,0.312013,0.002078,0.971240663409594,0.9917060869716792,double,-0.923382
16,0.066667,stand,0.0127189824814208,-0.1355891528677728,-0.0074394048476129,-0.0513355455360366,0.188031835998946,-0.1129090169907249,0.0004799616030855,0.0062395008399332,0.0050395968322534,-0.0028797696184067,-0.00287976961842,0.0007199424046075,-0.012772,0.174654,-0.92333,0.00207,-0.1373969999999999,-0.925426,0.014842,0.3120509999999999,0.0020959999999999,0.9656485360828848,0.9931070762580936,double,-0.92333
17,0.070833,walk,0.0048007681228778,-0.1385021603456542,-0.0004800768122771,-0.0301917434555389,0.1722736087624213,-0.0938589062730691,-0.002160345655287,0.0050408065290447,0.0002400384061443,-0.0009601536246075,-0.0033605376860331,0.0012001920307244,-0.0128009999999998,0.175252,-0.923327,0.0020459999999999,-0.1368339999999999,-0.925419,0.0148469999999998,0.312086,0.0020919999999999,0.969930858836602,0.9938410928475024,double,-0.923327
18,0.075,walk,0.0076793856491557,-0.1312694984401227,-0.0040796736261206,-0.0686684541163614,0.1551659090727276,-0.112693389495963,-0.0019198464122889,0.0062395008399323,0.0009599232061436,-0.002159827213805,-0.0040796736261073,0.0016798656107511,-0.0128409999999998,0.175825,-0.923306,0.002005,-0.1363039999999999,-0.925395,0.0148459999999999,0.312129,0.002089,0.9681126981162564,0.9918128591750992,double,-0.923306
19,0.079167,walk,-0.0266378689704756,-0.1221502279817636,0.0472762179025684,0.0827926404264975,0.6941545617618615,-0.1689727768431818,0.002159827213805,0.005999520038397,-0.0007199424046075,-0.0026397888168906,-0.0050395968322517,-0.0002399808015352,-0.0127209999999999,0.176359,-0.923506,0.002105,-0.1358159999999999,-0.925593,0.014826,0.312175,0.002087,0.9684350620293508,0.9905097108089772,double,-0.923506
20,0.083333,walk,0.0064810369659143,-0.133701392222756,-0.0043206913106006,-0.0479953581552788,0.1264018955766986,-0.0977184472224331,-0.001440230436858,0.0062409985597691,0.0007201152184348,-0.002160345655287,-0.0048007681229044,0.0036005760921741,-0.0127539999999999,0.176942,-0.923485,0.002069,-0.1352789999999999,-0.92556,0.014823,0.3122209999999999,0.002075,0.9685077039669618,0.9893700350011356,double,-0.923485
21,0.0875,walk,0.0004799616030855,-0.1403887688984889,-0.0033597312215189,-0.0214320327751617,0.173793884294763,-0.0565088057357877,0.0014398848092033,0.0057595392368609,0.0021598272138233,-0.0016798656107728,-0.0043196544276501,0.0,-0.01275,0.177551,-0.923462,0.0020599999999999,-0.134712,-0.925546,0.0148099999999999,0.312263,0.0020839999999999,0.9686308850643286,0.9922753348068644,double,-0.923462
22,0.091667,walk,0.0083993280537574,-0.1415886729061624,-0.0009599232061444,0.0033677809173013,0.1497826918862564,-0.0816295403677026,0.0,0.0069594432445407,0.0011999040076789,-0.0019198464122889,-0.0050395968322517,0.0009599232061436,-0.012785,0.17817,-0.923453,0.0020169999999999,-0.134143,-0.925538,0.0148019999999999,0.312313,0.002085,0.9673797904411148,0.9908705605867436,double,-0.923453
23,0.095833,walk,0.0100816130580593,-0.1478636581853108,0.0004800768123037,-0.0293488451667477,0.1640512689802241,-0.0245525445223632,-0.0002400384061252,0.0028804608737401,-0.0007201152184348,-0.0026404224675907,-0.0045607297167525,-0.0002400384061452,-0.0128279999999998,0.178798,-0.923458,0.001964,-0.133546,-0.925541,0.0147919999999999,0.312344,0.002083,0.9742053361953972,0.9912076888398864,double,-0.923458
24,0.1,walk,0.009839212863014,-0.1454283657307403,0.0043196544276367,-0.0013105191085745,0.1753100538878538,-0.0324150544365291,0.0035997120230084,0.0050395968322534,0.0038396928245737,-0.0023998080153744,-0.003599712023035,0.0,-0.0128540000000001,0.179425,-0.92346,0.0019129999999998,-0.132955,-0.925559,0.0147669999999999,0.31238,0.002099,0.9668651904242396,0.9927894742911184,double,-0.92346
