frame_id,timestamp,gait_type,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.004167,stand,0.011039116870648,-0.0081593472522213,0.0134389248860225,-0.0506686228948553,-0.0789195530679933,-0.0489453451718278,-0.0016798656107728,0.0009599232061444,0.00287976961843,0.0,0.002399808015359,0.0004799616030722,0.0100739999999999,-0.110063,-0.923723,0.0489140000000001,0.148409,-0.917307,0.0388400000000002,0.258472,0.0064159999999999,0.9942177296636892,0.931761110700269,double,-0.917307
2,0.008333,stand,-0.0235237638021919,0.0410465674507932,0.1553048487757928,-2.057050144405565,-1.1102337231797454,-0.421885220743361,-0.0019203072491084,0.0014402304368713,0.0012001920307252,-0.0012001920307327,-0.0002400384061452,-0.0016802688430148,0.010164,-0.1102279999999999,-0.924365,0.049007,0.148237,-0.917961,0.0388429999999999,0.258465,0.0064039999999999,0.9955271483888024,0.9324953440399012,double,-0.917961
3,0.0125,stand,0.0155987520998276,-0.0203983681305499,0.0091192704583591,-0.079456878020466,0.0135990061402314,0.002577397599465,0.0004799616030322,0.0009599232061444,0.0019198464122872,0.0004799616030322,0.0021598272138229,-0.0004799616030722,0.0101009999999999,-0.1101389999999999,-0.924395,0.0489439999999998,0.148331,-0.918001,0.0388429999999999,0.25847,0.006394,0.9963342327054322,0.932286709410438,double,-0.918001
4,0.016667,stand,0.0194384449244055,-0.0218382529397666,0.0021598272138317,0.0091798279427219,0.0612789178958966,-0.0041362917599952,-0.0016798656107195,0.0,0.0021598272138225,0.0007199424046549,0.0023998080153586,-0.0004799616030714,0.010013,-0.1100479999999999,-0.924395,0.048866,0.148432,-0.918012,0.038853,0.25848,0.006383,0.995439663126586,0.9319182818123392,double,-0.918012
5,0.020833,stand,0.0158425348055447,-0.0216034565530434,0.0055208833413334,0.0553465522881519,0.0882732909660588,0.0133089158713751,-0.0004800768123037,0.0004800768122837,-0.0004800768122896,0.0,0.0024003840614501,-0.00096015362458,0.009945,-0.109956,-0.92442,0.0488000000000001,0.148532,-0.918039,0.038855,0.258488,0.0063809999999999,0.9986141376159564,0.9318811787428908,double,-0.918039
6,0.025,stand,0.086633069354465,-0.1178305735541202,-0.1238300935925298,2.0425975153699683,0.980954251069066,0.4409999744885198,0.0,-0.0004799616030655,0.0021598272138225,0.0011999040076339,0.0031197504199661,-0.0011999040076789,0.009584,-0.1094669999999999,-0.923895,0.0484439999999999,0.149036,-0.917528,0.0388599999999998,0.258503,0.006367,0.996312477218908,0.93041101408412,double,-0.917528
7,0.029167,stand,0.0136789056875387,-0.0074394048476129,0.00143988480923,0.1991735670222212,0.0300575230040148,0.0388545015183527,-0.0007199424046016,0.0023998080153545,0.0011999040076789,0.0011999040076872,0.0033597312215023,-0.0002399808015361,0.009524,-0.109426,-0.923896,0.0483919999999999,0.149081,-0.917535,0.0388679999999999,0.258507,0.006361,0.995370035636042,0.9304306109808164,double,-0.917535
8,0.033333,stand,0.0168026884301522,-0.0016802688430098,-0.0024003840614655,0.1431911128695179,-0.0160658450280698,-0.0022977308296924,0.001440230436858,-0.0012001920307261,-0.0004800768122896,-0.0002400384061252,0.0048007681228994,-0.00096015362458,0.00946,-0.109424,-0.923888,0.048321,0.149108,-0.917529,0.038861,0.258532,0.006359,0.9967745808336276,0.928240461731214,double,-0.917529
9,0.0375,stand,0.0143988480921403,-0.0062395008399323,-0.0045596352291795,0.1668859202572615,-0.0014849102201107,0.0435282323032103,0.0002399808015161,-0.0004799616030722,0.0021598272138225,0.0019198464122889,0.004559635229182,-0.0009599232061436,0.0094009999999999,-0.1094,-0.92386,0.0482690000000001,0.1491529999999999,-0.917514,0.0388680000000001,0.258553,0.0063459999999999,0.9962908493338588,0.9281406719462424,double,-0.917514
10,0.041667,stand,0.02471802255824,-0.006239500839939,-0.0064794816414684,0.1978744528111244,-0.0374355548813762,0.0381278656621248,0.0007199424046549,-0.0007199424046016,-0.0019198464122864,0.0011999040076872,0.0023998080153586,-0.0009599232061436,0.009301,-0.1093769999999999,-0.923841,0.0481709999999999,0.149189,-0.917491,0.0388699999999999,0.2585659999999999,0.0063499999999999,0.9963781356938676,0.9317506431137303,double,-0.917491
